econ_lane,matched_terms,econ_score,article_key,title,source,published_at,uid,first_seen_digest,last_seen_digest,observation_count,first_feed_topic,first_window_type,first_source_file
external,importaciones,5,content:20828a7d63c265eead283d88422b7232538937db,"""Chatarrín"", ""Gomita"" y ""Lengua Floja"": los durísimos apodos de Milei para empresarios en el debate por importaciones y precios",AHORA Entre Ríos,2026-02-26 13:11:00+00:00,,2026-02-26 20:00:00+00:00,2026-02-26 20:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260226T20_All_Topics_02.md
external,exportaciones,5,content:00c31fa66e9f03c5434030ddce6e29262e93cd6e,"Qué impacto puede tener el acuerdo Mercosur-UE para Argentina en exportaciones, inversiones e industria",Infobae,2026-02-26 12:39:00+00:00,,2026-02-26 20:00:00+00:00,2026-02-27 12:00:00+00:00,2,All Topics,4h,data/output_digests/headlines_4h_window_20260226T20_All_Topics_01.md
external,comercio exterior | dolar | inflacion,6,content:ff0264beec1bd0f269c691db1eea5c50ddb74d51,Dólar en baja e inflación en alza: advierten por el impacto de la apreciación cambiaria en el comercio exterior,Editorial RN,2026-02-26 12:12:00+00:00,,2026-02-26 16:00:00+00:00,2026-02-26 16:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260226T16_All_Topics_03.md
reserves,banco central | dolar | reservas,7,content:6b164003170367919702b209b531c89568610940,"El dólar volvió a subir, cerró en $1.415 y las reservas del Banco Central tocaron un nuevo récord",Clarin.com,2026-02-25 16:17:00+00:00,,2026-02-26 00:00:00+00:00,2026-02-26 12:00:00+00:00,3,All Topics,4h,data/output_digests/headlines_4h_window_20260226T00_All_Topics_01.md
debt,bcra | deuda,7,content:31193a907c4bb78c7b4048db0a4f4e7707ef0b2c,El BCRA podría comprar hasta u$s 31.000 millones: cómo impactaría en la deuda local,El Cronista,2026-02-24 14:33:00+00:00,,2026-02-24 20:00:00+00:00,2026-02-24 20:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260224T20_All_Topics_04.md
reserves,bcra | dolar,7,content:2454b7d2ac2de2b3cc67fd094b7aca7e39618973,El dólar en baja y el BCRA sigue de compras,Diario El Día de La Plata,2026-02-24 05:53:00+00:00,,2026-02-24 08:00:00+00:00,2026-02-24 08:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260224T08_All_Topics_04.md
reserves,dolar | reservas,7,content:9add9b381cf050ea868bd384d02954f9dd576e08,Dólar sub $1.400: por qué Caputo no aprovecha para comprar más reservas,iProfesional,2026-02-23 18:45:00+00:00,,2026-02-24 00:00:00+00:00,2026-02-25 12:00:00+00:00,4,All Topics,4h,data/output_digests/headlines_4h_window_20260224T00_All_Topics_04.md
debt,"bcra | deuda | licitacion clave: el gobierno busca renovar $7,2 billones de deuda",7,content:cac62c7a81070d66e15c40998992027c57e709e2,"Licitación clave: el Gobierno busca renovar $7,2 billones de deuda tras los canjes con el BCRA",Diario Río Negro,2026-02-23 15:55:00+00:00,,2026-02-23 20:00:00+00:00,2026-02-24 12:00:00+00:00,2,All Topics,4h,data/output_digests/headlines_4h_window_20260223T20_All_Topics_07.md
debt,bcra | riesgo pais,7,content:c1f284c7240d47fe470f8b1ec63dacd00e1d6119,"El BCRA ya cubrió el 25% de su meta de compras, pero el riesgo país no baja de 500 puntos: qué señales espera la city – Editorial RN",Editorial RN,2026-02-23 11:52:00+00:00,,2026-02-23 16:00:00+00:00,2026-02-23 16:00:00+00:00,1,All Topics,4h,data/output_digests/headlines_4h_window_20260223T16_All_Topics_04.md
debt,bcra | riesgo pais,7,content:8a81b9180adabecf570f6c2887c7e016e4186d8f,"El BCRA ya cubrió el 25% de su meta de compras, pero el riesgo país no baja de 500 puntos: qué señales espera la city",Ambito,2026-02-23 03:00:00+00:00,,2026-02-23 08:00:00+00:00,2026-02-23 08:00:00+00:00,2,All Topics,4h,data/output_digests/headlines_4h_window_20260223T08_All_Topics_02.md
